Command Type,Command Name,Command Move
Normal Throws,Dragon Suplex,(Close To Opponent) {{< sfv-direction-right >}} Or {{< sfv-direction-neutral >}} + {{< sfv-lightpunch >}} {{< sfv-lightkick >}}
Normal Throws,Judo Throw,(Close To Opponent) {{< sfv-direction-left >}} + {{< sfv-lightpunch >}} {{< sfv-lightkick >}}
Normal Throws,Flying Mare,{{< sfv-in-air >}} {{< sfv-direction-right >}} Or {{< sfv-direction-neutral >}} + {{< sfv-lightpunch >}} {{< sfv-lightkick >}}
Normal Throws,Flying Buster Chop,{{< sfv-in-air >}} {{< sfv-direction-left >}} + {{< sfv-lightpunch >}} {{< sfv-lightkick >}}
V-Skill,Sonic Blade,{{< sfv-mediumpunch >}} {{< sfv-mediumkick >}}
V-Trigger,Solid Puncher,{{< sfv-hardpunch >}} {{< sfv-hardkick >}}
V-Reversal,Reverse Back Knuckle,(During Guard) {{< sfv-direction-right >}} + {{< sfv-triplepunch >}}
Unique Attacks,Guile High Kick,{{< sfv-direction-downright >}} + {{< sfv-hardkick >}}
Unique Attacks,Knee Bazooka,{{< sfv-direction-left >}} Or {{< sfv-direction-right >}} + {{< sfv-lightkick >}}
Unique Attacks,Rolling Sobat,{{< sfv-direction-left >}} Or {{< sfv-direction-right >}} + {{< sfv-mediumkick >}}
Unique Attacks,Spinning Back Knuckle,{{< sfv-direction-right >}} + {{< sfv-hardpunch >}}
Special Moves,Sonic Boom {{< sfv-ex >}},{{< sfv-charge-left >}} {{< sfv-direction-right >}} + {{< sfv-punch >}}
Special Moves,Somersault Kick {{< sfv-ex >}},{{< sfv-charge-down >}} {{< sfv-direction-up >}} + {{< sfv-kick >}}
Special Moves,Sonic Cross {{< sfv-ex >}},{{< sfv-mediumpunch >}} {{< sfv-mediumkick >}} {{< sfv-triangle >}} {{< sfv-charge-left >}} {{< sfv-direction-right >}} + {{< sfv-punch >}}
Special Moves,Sonic Break,(During V-Trigger) {{< sfv-direction-neutral >}} Or {{< sfv-direction-right >}} Or {{< sfv-direction-left >}} + {{< sfv-hardpunch >}} {{< sfv-hardkick >}} Or (During A Sonic Boom Or Sonic Break) {{< sfv-punch >}}
Critical Art,Sonic Hurricane,{{< sfv-charge-left >}} {{< sfv-direction-right >}} {{< sfv-direction-left >}} {{< sfv-direction-right >}} + {{< sfv-punch >}}
Critical Art,Sonic Tempest,(During V-Trigger) {{< sfv-charge-left >}} {{< sfv-direction-right >}} {{< sfv-direction-left >}} {{< sfv-direction-right >}} + {{< sfv-punch >}}
